name,bus,carrier,caloric_value
Demand 2-1_PLTU BANTEN #1,2-1_PLTU BANTEN #1,COAL,4200
Demand 2-1_PLTU JAWA-10 - SURALAYA #10,2-1_PLTU JAWA-10 - SURALAYA #10,COAL,4800
Demand 2-1_PLTU JAWA-7 - BOJANEGARA #1,2-1_PLTU JAWA-7 - BOJANEGARA #1,COAL,4400
Demand 2-1_PLTU JAWA-7 - BOJANEGARA #2,2-1_PLTU JAWA-7 - BOJANEGARA #2,COAL,4400
Demand 2-1_PLTU JAWA-9 - SURALAYA #9,2-1_PLTU JAWA-9 - SURALAYA #9,COAL,4800
Demand 2-1_PLTU LABUAN #1,2-1_PLTU LABUAN #1,COAL,4400
Demand 2-1_PLTU LABUAN #2,2-1_PLTU LABUAN #2,COAL,4400
Demand 2-1_PLTU LONTAR #1,2-1_PLTU LONTAR #1,COAL,4300
Demand 2-1_PLTU LONTAR #2,2-1_PLTU LONTAR #2,COAL,4300
Demand 2-1_PLTU LONTAR #3,2-1_PLTU LONTAR #3,COAL,4300
Demand 2-1_PLTU LONTAR #4,2-1_PLTU LONTAR #4,COAL,4300
Demand 2-1_PLTU SURALAYA #1,2-1_PLTU SURALAYA #1,COAL,4800
Demand 2-1_PLTU SURALAYA #2,2-1_PLTU SURALAYA #2,COAL,4800
Demand 2-1_PLTU SURALAYA #3,2-1_PLTU SURALAYA #3,COAL,4800
Demand 2-1_PLTU SURALAYA #4,2-1_PLTU SURALAYA #4,COAL,4800
Demand 2-1_PLTU SURALAYA #5,2-1_PLTU SURALAYA #5,COAL,4800
Demand 2-1_PLTU SURALAYA #6,2-1_PLTU SURALAYA #6,COAL,4800
Demand 2-1_PLTU SURALAYA #7,2-1_PLTU SURALAYA #7,COAL,4800
Demand 2-1_PLTU SURALAYA #8,2-1_PLTU SURALAYA #8,COAL,4400
Demand 2-2_PLTU CIREBON #1,2-2_PLTU CIREBON #1,COAL,4600
Demand 2-2_PLTU INDRAMAYU #1,2-2_PLTU INDRAMAYU #1,COAL,4200
Demand 2-2_PLTU INDRAMAYU #2,2-2_PLTU INDRAMAYU #2,COAL,4200
Demand 2-2_PLTU INDRAMAYU #3,2-2_PLTU INDRAMAYU #3,COAL,4200
Demand 2-2_PLTU JAWA-1 - CIREBON #2,2-2_PLTU JAWA-1 - CIREBON #2,COAL,4600
Demand 2-2_PLTU PELABUHAN RATU #1,2-2_PLTU PELABUHAN RATU #1,COAL,4500
Demand 2-2_PLTU PELABUHAN RATU #2,2-2_PLTU PELABUHAN RATU #2,COAL,4500
Demand 2-2_PLTU PELABUHAN RATU #3,2-2_PLTU PELABUHAN RATU #3,COAL,4500
Demand 2-3_PLTU ADIPALA,2-3_PLTU ADIPALA,COAL,4000
Demand 2-3_PLTU CILACAP #1,2-3_PLTU CILACAP #1,COAL,5200
Demand 2-3_PLTU CILACAP #2,2-3_PLTU CILACAP #2,COAL,5200
Demand 2-3_PLTU CILACAP #3,2-3_PLTU CILACAP #3,COAL,4200
Demand 2-3_PLTU JAWA TENGAH - BATANG #1,2-3_PLTU JAWA TENGAH - BATANG #1,COAL,4200
Demand 2-3_PLTU JAWA TENGAH - BATANG #2,2-3_PLTU JAWA TENGAH - BATANG #2,COAL,4200
Demand 2-3_PLTU JAWA-4 - TANJUNG JATI B #5,2-3_PLTU JAWA-4 - TANJUNG JATI B #5,COAL,4600
Demand 2-3_PLTU JAWA-4 - TANJUNG JATI B #6,2-3_PLTU JAWA-4 - TANJUNG JATI B #6,COAL,4600
Demand 2-3_PLTU JAWA-8 - CILACAP #4,2-3_PLTU JAWA-8 - CILACAP #4,COAL,4200
Demand 2-3_PLTU REMBANG #1,2-3_PLTU REMBANG #1,COAL,4300
Demand 2-3_PLTU REMBANG #2,2-3_PLTU REMBANG #2,COAL,4300
